,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
144,нефть,РН-ТОМСКН-2018-7,"нск к.28 - уз.вр.к.28, 660м от к.28",Нижневартовский,78.94425,60.7988,земли лесного фонда,0.1599,1.62,-,2018-07-09 00:00:00
145,нефть,РН-ТОМСКН-2019-8,"нск ф-159 к.53 - УПСВ-5, 278м от к.53",Нижневартовский,78.99738,60.98037,земли лесного фонда,0.2364,6.803,-,2019-02-02 00:00:00
146,нефть,РН-ТОМСКН-2019-9,"Технологический трубопровод - вх. гр. (от задвижек 94,93,586,264, 283,5,588,309 до задвижек 162,161,160)",Нижневартовский,78.891574,60.89591,земли промышленности,0.0346,11.28,-,2019-02-15 00:00:00
147,нефть,РН-ТОМСКН-2019-10,"нск ф-159 к.12 - УПСВ-2, 400м от к.12",Нижневартовский,78.90979,60.86767,земли лесного фонда,0.2089,23.256,-,2019-03-02 00:00:00
148,нефть,РН-ТОМСКН-2019-11,"нск ф-114 к.44 - уз.вр., 493м, 494м от к.44",Нижневартовский,78.88539,60.924322,"земли лесного фонда, земли промышленности",0.0378,5.699,-,"04.05.2019
06.05.2020"
149,нефть,РН-ТОМСКН-2019-12,"нск ф-114 к.33 - уз.вр., 10м от ЗУ к.33",Нижневартовский,79.001522,60.853666,земли промышленности,0.0565,5.969,-,2019-05-07 00:00:00
150,нефть,РН-ТОМСКН-2019-13,"КНВЛ ф-114 к.12(скв.660), 8м от скв.",Нижневартовский,78.902776,60.86725,"земли лесного фонда, земли промышленности",0.2499,81.123,-,2019-06-20 00:00:00
151,нефть,РН-ТОМСКН-2019-15,"НС ф-159 уз.вр.к.14 - УПСВ-2, 1,5м от уз.вр.к.14",Нижневартовский,78.95797,60.8668,земли лесного фонда,0.1824,2.019,-,2019-08-08 00:00:00
152,нефть,РН-ТОМСКН-2019-17,"НС ф-114 к.67 - вр.к.39, 300м от к.67",Нижневартовский,79.10795,60.88345,земли лесного фонда,0.0179,3.93,-,2019-11-09 00:00:00
153,нефть,РН-ТОМСКН-2019-18,"НС ф-219 УПСВ-2 - ЦПС, 2307м от УПСВ-2",Нижневартовский,78.92761,60.88612,земли лесного фонда,0.1651,57.7,-,2019-11-14 00:00:00
154,нефть,РН-ТОМСКН-2019-19,"НС ф-89 к.43 - уз.вр., 20м от к.43",Нижневартовский,78.93241,60.92172,"земли лесного фонда, земли промышленности",0.0781,2.82,-,2019-12-06 00:00:00
155,нефть,РН-ТОМСКН-2019-20,"НС ф-89 к.3 - вр.к.3, 100м от к.3",Нижневартовский,78.90219,60.90187,земли лесного фонда,0.0482,2.08,-,2019-12-16 00:00:00
156,нефть,РН-ТОМСКН-2020-1," НС ф-159 к.51-УПСВ-6,  500 м от к.51",Нижневартовский,78.9985,60.94638,земли лесного фонда,0.0649,1.14,-,2020-01-09 00:00:00
157,нефть,РН-ТОМСКН-2020-2," НС ф-114 к.73-уз.вр.к.51, 268 м от к.73",Нижневартовский,78.99861,60.94209,земли лесного фонда,0.0859,11.91,-,2020-01-09 00:00:00
158,нефть,РН-ТОМСКН-2020-3,"НС ф-89 к.37 – уз.вр.к.33, 5 м от к.37",Нижневартовский,79.03996,60.85337,"земли лесного фонда, земли промышленности",0.1496,20.7,-,2020-01-15 00:00:00
159,нефть,РН-ТОМСКН-2020-4,"НС ф-114 к.2 - вр., 79м от к.2",Нижневартовский,78.88297,60.89879,"земли лесного фонда, земли промышленности",0.0703,1.47,-,2020-01-22 00:00:00
160,нефть,РН-ТОМСКН-2020-5,"НС ф-168 уз.вр. - уз.вр.к.38, 2930м от уз.вр.",Нижневартовский,79.0026,60.82513,"земли лесного фонда, земли промышленности",0.1722,9.4,-,2020-02-15 00:00:00
161,нефть,РН-ТОМСКН-2020-6,"НС ф-114 ЗУ к.8 - уз.вр.к.6,7, 40м (70м) от ЗУ к.8",Нижневартовский,78.90247,60.88671,"земли лесного фонда, земли промышленности",0.0354,0.38,-,2020-03-05 00:00:00
